timestamp_s,altitude_m,simulated_altitude_m
0,0,0
0.1,1,0.065181
0.2,3,0.941919
0.3,6,2.934569
0.4,10,6.036944
0.5,15,10.253567
0.7,28,22.061181
0.9,44,38.388779
1,53,48.252644
1.1,63,59.267377
1.2,74,71.45648
1.4,100,99.403043
1.6,130,131.96819
2.2,246,254.470291
2.8,402,407.310014
2.9,432,435.097631
3,462,463.436382
3.1,493,492.284829
3.2,525,521.607145
3.5,625,612.025306
4.1,830,789.154441
4.6,975,926.30199
5.5,1189,1152.147087
5.8,1252,1222.096715
6.3,1352,1333.352064
6.5,1389,1376.091728
6.6,1407,1397.099819
6.7,1425,1417.871656
6.8,1442,1438.410843
6.9,1460,1458.720812
7,1477,1478.804871
7.3,1527,1537.733352
7.4,1544,1556.944992
7.6,1576,1594.738719
7.7,1592,1613.326282
7.8,1607,1631.711183
8.2,1668,1703.273833
8.3,1683,1720.682129
8.6,1727,1771.78516
8.7,1742,1788.452564
8.9,1770,1821.249015
9.4,1840,1900.187019
9.5,1853,1915.465382
9.7,1880,1945.526235
9.9,1906,1974.936282
10.2,1945,2017.857371
10.3,1958,2031.851721
10.4,1971,2045.692025
10.5,1983,2059.379606
10.6,1996,2072.915771
10.7,2008,2086.301787
11,2045,2125.571165
11.1,2057,2138.368659
11.3,2080,2163.532016
11.4,2092,2175.900073
11.6,2115,2200.214223
11.9,2149,2235.645791
12.2,2183,2269.853007
12.3,2194,2280.987622
12.4,2204,2291.989806
12.5,2215,2302.86042
12.6,2226,2313.600349
12.7,2236,2324.21036
13,2268,2355.268606
13.1,2278,2365.36672
13.4,2308,2394.907428
13.6,2327,2413.980256
13.7,2337,2423.332417
13.8,2347,2432.562616
14,2366,2450.659651
14.2,2384,2468.276315
14.3,2393,2476.905995
14.4,2402,2485.417339
14.5,2411,2493.810907
14.7,2428,2510.24691
14.9,2445,2526.218269
15,2453,2534.030988
15.1,2462,2541.729073
15.2,2470,2549.313017
15.4,2485,2564.140349
15.6,2501,2578.516654
16,2530,2605.930305
16.1,2537,2612.507194
16.2,2544,2618.97428
16.3,2551,2625.331954
16.4,2558,2631.580592
16.5,2564,2637.720561
17,2596,2666.802786
17.1,2602,2672.298091
17.4,2620,2688.147491
17.5,2626,2693.219466
17.6,2631,2698.186356
17.7,2637,2703.048444
18,2652,2717.008624
18.1,2657,2721.454177
18.2,2662,2725.796221
18.3,2667,2730.034998
18.5,2676,2738.203698
18.6,2681,2742.134084
18.9,2694,2753.31205
19,2698,2756.834353
19.1,2702,2760.255157
19.4,2714,2769.910568
19.5,2717,2772.927346
19.6,2720,2775.843591
19.7,2724,2778.659487
20,2733,2786.506854
20.3,2742,2793.457332
20.5,2747,2797.594899
20.6,2750,2799.515331
20.7,2752,2801.337065
20.8,2755,2803.060254
21.2,2764,2808.970446
21.4,2767,2811.337954
21.5,2769,2812.375273
21.6,2771,2813.315135
21.7,2772,2814.157655
21.9,2775,2815.551107
22.1,2778,2816.556414
22.2,2779,2816.913719
22.3,2780,2817.174211
22.4,2781,2817.337939
22.5,2782,2817.404935
22.6,2782,2817.375216
22.9,2784,2816.705645
23,2784,2816.288845
23.1,2785,2815.775121
23.2,2785,2815.16437
23.4,2784,2813.651306
23.6,2781,2811.748562
23.7,2787,2810.650698
23.8,2789,2809.454991
24,2785,2806.769586
24.2,2781,2803.691706
24.3,2779,2802.005543
24.4,2778,2800.221294
24.7,2777,2794.281384
24.8,2776,2792.106406
24.9,2776,2789.8344
25,2775,2787.465712
25.1,2774,2785.000715
25.6,2763,2771.244239
25.7,2761,2768.208879
26.2,2748,2751.619745
26.3,2745,2748.0193
26.4,2742,2744.324526
26.5,2740,2740.535421
26.7,2734,2732.674552
26.9,2728,2724.43812
27,2726,2720.17984
27.1,2723,2715.828711
27.4,2713,2702.222407
27.6,2705,2692.69429
28,2690,2672.547182
28.2,2681,2661.929391
28.3,2677,2656.484923
28.5,2669,2645.326293
28.6,2665,2639.612893
28.7,2660,2633.810661
28.8,2656,2627.920002
29,2647,2615.874776
29.1,2642,2609.720747
29.4,2626,2590.735269
29.5,2621,2584.232919
29.7,2611,2570.969012
30.2,2583,2536.314881
30.3,2579,2529.1308
30.4,2574,2521.862976
30.5,2568,2514.511655
30.6,2563,2507.077119
30.7,2557,2499.559697
31,2540,2476.513824
31.1,2534,2468.668626
31.2,2528,2460.742437
31.3,2522,2452.735595
31.4,2517,2444.648433
31.6,2506,2428.234437
32.3,2458,2368.307248
32.4,2450,2359.436679
32.7,2429,2332.368708
32.8,2422,2323.195283
32.9,2415,2313.947177
33,2408,2304.624791
33.1,2400,2295.228505
33.3,2386,2276.215755
33.6,2368,2247.152153
33.7,2360,2237.320764
33.8,2353,2227.418297
34.2,2324,2187.105817
34.4,2309,2166.533845
34.5,2302,2156.145379
34.6,2294,2145.68915
34.7,2287,2135.165587
35,2265,2103.1952
35.1,2257,2092.406565
35.3,2243,2070.634069
35.4,2235,2059.651067
35.6,2220,2037.493779
35.7,2213,2026.320344
36,2191,1992.425953
36.2,2176,1969.522322
36.3,2168,1957.979632
36.4,2161,1946.376928
36.5,2154,1934.714632
36.7,2138,1911.212985
36.9,2123,1887.478218
37,2115,1875.524529
37.3,2093,1839.323321
37.4,2085,1827.144297
37.6,2070,1802.621018
37.7,2062,1790.277634
37.8,2055,1777.880316
37.9,2047,1765.429485
38.2,2026,1727.760237
38.3,2018,1715.099737
38.6,1996,1676.811943
38.7,1989,1663.948644
38.8,1983,1651.0357
39.2,1957,1598.896297
39.4,1946,1572.540006
39.6,1938,1545.99706
39.7,1934,1532.656645
39.8,1931,1519.270869
39.9,1928,1505.840165
40,1925,1492.364942
40.3,1915,1451.676194
40.5,1909,1424.335172
40.6,1906,1410.601324
40.7,1902,1396.825829
40.8,1894,1383.009137
40.9,1885,1369.151665
41,1875,1355.253803
41.1,1864,1341.315942
41.3,1843,1313.321829
41.4,1835,1299.266394
41.6,1816,1271.04082
41.7,1806,1256.871531
42,1778,1214.142474
42.2,1759,1185.475954
42.3,1751,1171.089694
42.4,1742,1156.66789
42.5,1734,1142.212468
42.6,1728,1127.723134
43,1705,1069.434472
43.1,1696,1054.78144
43.2,1687,1040.096836
43.3,1679,1025.381039
43.4,1671,1010.634444
43.7,1647,966.214099
43.8,1639,951.348464
43.9,1632,936.454027
44,1624,921.531166
44.1,1616,906.580255
44.2,1608,891.601674
44.4,1592,861.562946
44.5,1585,846.503529
44.6,1578,831.417915
44.7,1571,816.306498
44.8,1564,801.169665
44.9,1557,786.007803
45.2,1537,740.375755
45.3,1530,725.11743
45.4,1522,709.835866
45.6,1508,679.204404
45.7,1500,663.855182
46,1476,617.677762
46.1,1468,602.243231
46.2,1460,586.788261
46.3,1452,571.313239
46.4,1445,555.818553
46.5,1437,540.304562
46.7,1422,509.219957
46.8,1414,493.650005
46.9,1407,478.062068
47.1,1392,446.833525
47.2,1385,431.193566
47.3,1378,415.536894
47.4,1371,399.863784
47.7,1348,352.74877
47.8,1340,337.012871
47.9,1332,321.261992
48,1324,305.496424
48.2,1309,273.922364
48.3,1301,258.114456
